"","name_text6","state_text6","last_digit_text6"
"347","*Bigelow, Village of","Minnesota.. ","381"
"348","Big Fork Valley Electric Service Co...","Minnesota ","369"
"349","*Biggs Municipal Utilities","California ","51"
"350","*Big Horn Rural Electric Company","Wyoming ","904"
"351","*Big Rapids Hydro-Electric Plant","Michigan ","356"
"352","Big Springs Power Co","Utah ","789"
"353","*Big Stone City Muncipal Light & Power","South Dakota.. ","727"
"354","Billhimer Light Plant","Ohio ","595"
"355","Biltmore Company, The","North Carolina ","567"
"356","Birchton Coal Co","West Virginia ","851"
"357","Birmingham Electric Company","Alabama ","4"
"358","Bishop, Mrs. Eva","Virginia ","812"
"359","Bison Electric Company","South Dakota ","721"
"360","*Biwabik, Village of","Minnesota ","382"
"362","ciation","Oregon ","665"
"363","Black Band Corporation","West Virginia ","851"
"364","*Black Creek, Town of","North Carolina ","570"
"365","Black Diamond Coal Mining Co","Kentucky ","275"
"366","Black Diamond Power Co","West Virginia ","845"
"367","*Black Earth Municipal Electric Utility","Wisconsin ","876"
"368","Blackmon and Son","Wyoming ","895"
"369","*Black River Electric Cooperative","Missouri ","443"
"370","*Black River Electric Cooperative, Inc","South Carolina ","718"
"371","*Black River Falls Electric Utility","Wisconsin ","876"
"372","*Blackstone Light and Power Plant..","Virginia ","820"
"373","Blackstone Valley Gas and Electric Company","Rhode Island ","705"
"374","*Black Warrior Electric Membership Corporation..","Alabama ","12"
"375","*Blackwell, City of","Oklahoma ","641"
"376","*Blaine Municipal Light Plant","Washington ","834"
"377","*Blair Electric Light Company","Kansas ","265"
"378","*Blair Light Dept., City of","Nebraska ","467"
"379","Blair Veneer Co","Vermont ","806"
"380","*Blakely Borough Municipal Light Plant","Pennsylvania ","697"
"381","*Blakely Water & Light Department","Georgia ","106"
"382","*Blanchester Municipal Light System","Ohio ","612"
"383","*Blandford Electric Light Department","Massachusetts ","336"
"384","*Blanding Light and Power Department","Utah ","793"
"385","Blandin Paper Co","Minnesota ","378"
"386","*Blissfield Electric Light and Water Works","Michigan ","356"
"387","Bloedel Donovan Lumber Mills","Washington ","832"
"388","Bloom Co., Edward","Connecticut ","76"
"389","*Bloomdale Municipal Light and Power","Ohio ","612"
"390","*Bloomer Electric and Water Co","Wisconsin ","876"
"391","*Bloomfield Light & Power Plant","Nebraska ","467"
"392","*Bloomfield Light and Water Department","Iowa ","208"
"393","*Blooming Prairie Light & Power Plant","Minnesota ","382"
"395","partment, City of","Illinois ","145"
"396","*Blountstown, City of","Florida ","91"
"397","*Blountsville Municipal Light Company","Indiana ","172"
"398","*Blue Earth Light & Water Department","Minnesota ","382"
"400","tion","Minnesota ","399"
"405","tion","Kentucky. _. ","279"
"406","*Blue Hill Electric Plant","Nebraska ","467"
"407","*Blue Mound Light Plant","Kansas ","246"
"408","*Blue Ridge Electric Association, Inc","Georgia ","114"
"409","","North Carolina ","581"
"410","*Blue Ridge Electric Membership Corporation","North Carolina ","581"
"411","Blue River Light Company","Wisconsin ","858"
"412","Blue River Power Company, The","Kansas ","236"
"413","Blue Valley Electric Company","Nebraska ","458"
"414","*Bluffton Electric Energy and Water Works Plant.","Ohio ","612"
"415","*Bluffton Municipal Electric Department","Minnesota ","382"
"416","*Bluffton Municipal Light and Water Works","Indiana ","172"
"417","*Boardman, City of","Oregon ","663"
"418","Boca Grande Light & Power Co","Florida ","85"
"419","Boehmer Electric Co","Indiana ","158"
"420","*Bogue, The City of","Kansas.. ","246"
"421","Boiling Springs Electric Light and Water Company.","Pennsylvania ","668"
"422","Boise Payette Lumber Company","Idaho ","123"
"423","*Bolivar Electric Department","Tennessee ","739"
"424","Bolton Electric Light & Power Co","Missouri ","420"
"425","•Bonanza Electric Light System","Colorado ","64"
"426","Bonaparte Light & Water Company","New York ","526"
"427","*Bondurant Electric Company. The","Iowa ","208"
"429","partment..","Idaho... ","123"
"430","Bonneyville Power & Elec. Co., Inc","Indiana ","158"
"431","*Boone County Cooperative Electric Association..","Missouri ","444"
"433","ration","Indiana ","184"
"434","*Boone-Nance Rural Public Power District","Nebraska ","467"
"435","*Boone Valley Electric Cooperative","Iowa ","228"
"436","*Boonville Board of Light Commissioners","New York ","550"
"437","*Boonville, City of","Indiana ","172"
"438","Booth Kelly Lumber Company, The","Oregon ","660"
"439","*Boscpbel Electric Light and Water Utility","Wisconsin ","876"
"440","*Bossier Rural Electric Membership Corporation..","Louisiana ","294"
"441","*Bostic, Town of","North Carolina _. ","570"
"442","Boston Consolidated Gas Company","Massachusetts ","321"
"443","Boston Edison Company","Massachusetts ","321"
"444","'Bountiful City Electric Department","Utah ","793"
"445","Bowersock Mills & Power Co","Kansas ","243"
"446","*Bowie-Cass Electric Cooperative, Inc","Texas ","780"
"447","*Bowie Municipal Light Plant","Texas ","771"
"448","*Boyce Power Plant, Town of","Louisiana ","290"
"449","*Boylston Lighting Department..","Massachusetts ","336"
"450","Bozrah Electric Co., The","Connecticut ","71"
"451","Bracha Light & Power","South Dakota ","722"
"452","*Brackenndge Borough Electric Department","Pennsylvania ","697"
"453","Braddock Light & Power Company, Incorporated.","Virginia ","812"
"455","Company, The","Ohio ","595"
"456","Bradford Electric Company","Pennsylvania ","668"
"457","Bradley Ice & Light Company","Arkansas ","28"
"458","Bradley Light, Heating and Power Company","Ohio ","595"
"459","Bradley Lumber Company of Arkansas","Arkansas ","31"
"460","*Bradner Board of Public Affairs","Ohio ","612"
"461","*Bradshaw, Village of","Nebraska ","467"
"462","*Brady, Village of","Nebraska ","468"
"463","*Brady Water and Light Works","Texas ","772"
"464","*Brainard, Village of","Nebraska ","468"
"465","*Brainerd, Water & Light Board, City of","Minnesota ","382"
"466","*Braintree Electric Light Department","Massachusetts ","336"
"467","*Braman, City of...","Oklahoma ","641"
"469","trict","Texas ","772"
"473","*Breckenridge Water & Light Commission","Minnesota ","382"
"474","*Breda Electrical System...","Iowa ","208"
"475","Bree Electric Co","Nebraska ","459"
"476","*Breese Water and Light Department, City of","Illinois ","145"
"477","*Bremen Electric Light and Power Co","Indiana ","172"
